member_casual,weekday,number_of_rides,average_duration
casual,Sun,18652,84.35505683036672
casual,Mon,5591,79.20079771060634
casual,Tue,7311,76.03009437833401
casual,Wed,7690,74.67286215864759
casual,Thu,7147,140.86114453616904
casual,Fri,8013,101.51225758143018
casual,Sat,13473,82.512842722482
member,Sun,60197,16.215642141634966
member,Mon,110430,13.70518400796885
member,Tue,127974,12.824034882085424
member,Wed,121902,11.866383816508343
member,Thu,125228,11.786822196313924
member,Fri,115168,13.278886148930258
member,Sat,59413,16.234537222493394
