member_casual,hour,number_of_rides
casual,0,465
casual,1,331
casual,2,248
casual,3,145
casual,4,95
casual,5,196
casual,6,482
casual,7,1012
casual,8,1834
casual,9,1871
casual,10,2794
casual,11,4253
casual,12,5637
casual,13,7195
casual,14,7712
casual,15,7813
casual,16,7631
casual,17,7004
casual,18,4270
casual,19,2472
casual,20,1535
casual,21,1298
casual,22,937
casual,23,647
member,0,2957
member,1,1743
member,2,1129
member,3,896
member,4,1984
member,5,9043
member,6,27701
member,7,58620
member,8,78714
member,9,36004
member,10,24278
member,11,29291
member,12,33557
member,13,33022
member,14,32181
member,15,43018
member,16,76363
member,17,95864
member,18,55562
member,19,32571
member,20,19216
member,21,13621
member,22,8289
member,23,4688
